200000011,|⠂⠂⠂|⠂⠂⠂|⠃⠂⠂|
200000002,|⣂⠂⠂|⠂⠂⠂|⠂⠂⣂|
121000000,|⠂⠲⠂|⠂⠂⠂|⠂⠂⠂|
111100000,|⠒⠂⠂|⠒⠂⠂|⠂⠂⠂|
111010000,|⠂⠂⠂|⠂⠒⠂|⠂⠂⠂|
111001000,|⠂⠂⠂|⠂⠂⠒|⠂⠂⠂|
111000100,|⠂⠂⠂|⠂⠂⠂|⠒⠂⠂|
111000010,|⠂⠂⠂|⠂⠂⠂|⠂⠒⠂|
111000001,|⠂⠂⠂|⠂⠂⠂|⠂⠂⠒|
410000000,|⠂⠂⠊|⠂⠂⠂|⠂⠂⠂|
401000000,|⠂⠢⠂|⠂⠂⠂|⠂⠂⠂|
320000000,|⠂⣂⠂|⠂⠂⠂|⠂⠂⠂|
311000000,|⣃⠂⠂|⠊⠂⠂|⠂⠂⠂|
310100000,|⠂⠂⠢|⠂⠂⠂|⠂⠂⠂|
302000000,|⠂⠂⣂|⠂⠂⠂|⠂⠂⠂|
301100000,|⠂⠃⠂|⠂⠊⠂|⠂⠂⠂|
301010000,|⠂⠂⠂|⠢⠂⠂|⠂⠂⠂|
300200000,|⠂⠂⠂|⣂⠂⠂|⠂⠂⠂|
300110000,|⠂⠂⠃|⠂⠂⠊|⠂⠂⠂|
300101000,|⠂⠂⠂|⠂⠢⠂|⠂⠂⠂|
300020000,|⠂⠂⠂|⠂⣂⠂|⠂⠂⠂|
300011000,|⠂⠂⠂|⠃⠂⠂|⠊⠂⠂|
300010100,|⠂⠂⠂|⠂⠂⠢|⠂⠂⠂|
300002000,|⠂⠂⠂|⠂⠂⣂|⠂⠂⠂|
300001100,|⠂⠂⠂|⠂⠃⠂|⠂⠊⠂|
300001010,|⠂⠂⠂|⠂⠂⠂|⠢⠂⠂|
300000200,|⠂⠂⠂|⠂⠂⠂|⣂⠂⠂|
300000110,|⠂⠂⠂|⠂⠂⠃|⠂⠂⠊|
300000101,|⠂⠂⠂|⠂⠂⠂|⠂⠢⠂|
300000020,|⠂⠂⠂|⠂⠂⠂|⠂⣂⠂|
300000011,|⠂⠂⠂|⠂⠂⠂|⠃⠂⠂|
300000002,|⠂⠂⠂|⠂⠂⠂|⠂⠂⣂|
221000000,|⠂⠂⠊|⠂⠂⠂|⠂⠂⠂|
212000000,|⠂⠢⠂|⠂⠂⠂|⠂⠂⠂|
211100000,|⣂⠂⠂|⠂⠂⠂|⠂⠂⠂|
201110000,|⣂⠂⠂|⠂⠂⠂|⠂⠂⠂|
200111000,|⣂⠂⠂|⠂⠂⠂|⠂⠂⠂|
200011100,|⣂⠂⠂|⠂⠂⠂|⠂⠂⠂|
200001110,|⣂⠂⠂|⠂⠂⠂|⠂⠂⠂|
200000111,|⣂⠂⠂|⠂⠂⠂|⠂⠂⠂|
131000000,|⠂⣢⠂|⠂⠂⠂|⠂⠂⠂|
121100000,|⠂⠂⠪|⠂⠂⠂|⠂⠂⠂|
112010000,|⠂⠂⠂|⠢⠂⠂|⠂⠂⠂|
111110000,|⠂⠂⠋|⠂⠂⠊|⠂⠂⠂|
111101000,|⠂⠂⠂|⠂⠢⠂|⠂⠂⠂|
111011000,|⠂⠂⠂|⠃⠂⠂|⠊⠂⠂|
111010100,|⠂⠂⠂|⠂⠂⠢|⠂⠂⠂|
