number,suit,left,right
W427,032211211,True,True
W428,032211130,True,True
W429,322111111,True,True
W430,032124100,True,True
W431,032122210,True,True
W432,032114110,True,True
W433,321111211,True,True
W434,032111113,True,True
W435,031441000,True,True
W436,031432000,True,True
W437,031431100,True,True
W438,031422100,True,True
W439,031421200,True,True
W440,031421110,True,True
W441,031420300,True,True
W442,031412110,True,True
W443,031411300,True,True
W444,031411111,True,True
W445,031411030,True,True
W446,031342000,True,True
W447,031341100,True,True
W448,031332100,True,True
W449,031323100,True,True
W450,031322200,True,True
W451,031322110,True,True
W452,031321300,True,True
W453,031321111,True,True
W454,031313110,True,True
W455,031311211,True,True
W456,031311130,True,True
W457,313111111,True,True
W458,031242100,True,True
W459,031233100,True,True
W460,031232200,True,True
W461,031232110,True,True
W462,031224100,True,True
W463,031223200,True,True
W464,031223110,True,True
W465,031222210,True,True
W466,031222120,True,True
W467,031222111,True,True
W468,031222030,True,True
W469,031221211,True,True
W470,031221130,True,True
W471,312211111,True,True
W472,031221103,True,True
W473,031214110,True,True
W474,031212310,True,True
W475,031212130,True,True
W476,031211311,True,True
W477,031211131,True,True
W478,312111211,True,True
W479,031211113,True,True
W480,312110311,True,True
W481,312110131,True,True
W482,312110113,True,True
W483,031143100,True,True
W484,031142200,True,True
W485,031142110,True,True
W486,031141120,True,True
W487,031141111,True,True
W488,031141030,True,True
W489,031134100,True,True
W490,031133200,True,True
W491,031133110,True,True
W492,031132210,True,True
W493,031131310,True,True
W494,031131211,True,True
W495,031131130,True,True
W496,311311111,True,True
W497,031130311,True,True
W498,031130131,True,True
W499,031130113,True,True
W500,311300311,True,True
W501,311300131,True,True
W502,311300113,True,True
W503,031124200,True,True
W504,031124110,True,True
W505,031123210,True,True
W506,031123111,True,True
W507,031122310,True,True
W508,031122220,True,True
W509,031122211,True,True
W510,031121410,True,True
W511,031121311,True,True
W512,031121221,True,True
W513,311212111,True,True
W514,031121203,True,True
W515,311211211,True,True
W516,031121113,True,True
W517,311211103,True,True
W518,311201113,True,True
W519,031114210,True,True
W520,031114120,True,True
W521,031114111,True,True
W522,031114030,True,True
W523,031113310,True,True
W524,031113220,True,True
W525,031113211,True,True
W526,311131111,True,True
W527,031113103,True,True
W528,031112410,True,True
W529,031112320,True,True
W530,031112311,True,True
W531,031112221,True,True
W532,031112212,True,True
W533,311122111,True,True
W534,311121211,True,True
W535,031111420,True,True
W536,031111411,True,True
W537,031111321,True,True
W538,031111312,True,True
W539,311113111,True,True
W540,031111231,True,True
W541,031111222,True,True
W542,311112211,True,True
W543,031111141,True,True
W544,311111311,True,True
W545,311111221,True,True
W546,311111212,True,True
W547,311111203,True,True
W548,311111131,True,True
W549,311111122,True,True
W550,311111113,True,True
W551,311104111,True,True
W552,031110403,True,True
W553,031110322,True,True
W554,031110241,True,True
W555,311102221,True,True
W556,311101411,True,True
W557,311101222,True,True
W558,311101141,True,True
W559,031103320,True,True
W560,311031211,True,True
W561,031102222,True,True
W562,031101421,True,True
W563,031101241,True,True
W564,311011411,True,True
W565,031100332,True,True
W566,311002222,True,True
W567,311001421,True,True
W568,311001241,True,True
W569,311000332,True,True
W570,031013320,True,True
W571,030441100,True,True
W572,030431110,True,True
W573,030422200,True,True
W574,030414100,True,True
W575,030412210,True,True
W576,030411211,True,True
W577,304111111,True,True
W578,030411103,True,True
W579,030333100,True,True
W580,030323110,True,True
W581,030322111,True,True
W582,030242110,True,True
W583,030241111,True,True
W584,030233200,True,True
W585,030223210,True,True
W586,030222211,True,True
W587,302221111,True,True
W588,030222103,True,True
W589,030214111,True,True
W590,030212410,True,True
W591,030212221,True,True
W592,030211411,True,True
W593,030144100,True,True
W594,030142210,True,True
W595,030141211,True,True
W596,301411111,True,True
W597,030141103,True,True
W598,030134110,True,True
W599,030132220,True,True
W600,301311211,True,True
W601,030123310,True,True
W602,030122311,True,True
W603,301222111,True,True
W604,030114211,True,True
W605,301141111,True,True
W606,030113320,True,True
W607,030112321,True,True
W608,301122211,True,True
W609,301114111,True,True
W610,030111322,True,True
W611,030111241,True,True
W612,301112221,True,True
W613,301111411,True,True
W614,301111222,True,True
W615,301111141,True,True
W616,030101332,True,True
W617,024421000,True,True
W618,024412000,True,True
W619,024411100,True,True
W620,024331000,True,True
W621,024322000,True,True
W622,024321100,True,True
W623,024311110,True,True
W624,024241000,True,True
W625,024232000,True,True
W626,024231100,True,True
W627,024222100,True,True
W628,024221200,True,True
W629,024221110,True,True
W630,024212110,True,True
W631,024211111,True,True
W632,024141100,True,True
W633,024111211,True,True
W634,241111111,True,True
W635,023431000,True,True
W636,023422000,True,True
W637,023421100,True,True
W638,023411110,True,True
W639,023341000,True,True
W640,023332000,True,True
W641,023331100,True,True
W642,023322100,True,True
W643,023321200,True,True
W644,023321110,True,True
W645,023313100,True,True
W646,023312200,True,True
W647,023312110,True,True
W648,023311210,True,True
W649,023311120,True,True
W650,023311111,True,True
W651,233111101,True,True
W652,023310211,True,True
W653,233101111,True,True
W654,023303110,True,True
W655,023301310,True,True
W656,023300311,True,True
W657,023300131,True,True
